skills	frequency	median	mean	std
custom content management system (custom cms)	9	10.0	13.0	4.301162633521313
custom web development	5	40.0	30.6	19.53970317072396
custom website	296	20.0	26.804054054054053	20.30201084931938
customer information	2	12.5	12.5	3.5355339059327378
customer relationship management (CRM)	147	20.0	25.789115646258505	17.371931104757817
customer segmentation	5	33.0	47.0	39.528470752104745
customer service	429	16.0	20.177156177156178	18.05576357941785
customer support	62	10.0	14.016129032258064	6.912786763349262
d3 js	2	27.5	27.5	17.67766952966369
dancing	1	8.0	8.0	
data analysis	154	17.0	26.24025974025974	24.578819511106406
data backup	2	29.0	29.0	5.656854249492381
data center	1	26.0	26.0	
data center operations	1	25.0	25.0	
data cleansing	23	20.0	21.956521739130434	14.360546523119787
data encoding	2	10.5	10.5	2.1213203435596424
data entry	1278	11.0	15.310641627543037	9.685002625735597
data entry clerk	77	10.0	13.844155844155845	10.616601863745657
data extraction	15	13.0	16.6	14.029560628493375
data interpretation	1	60.0	60.0	
data management	1	12.0	12.0	
data mining	329	10.0	15.124620060790274	12.889763685120641
data modeling	1	10.0	10.0	
data processing	5	10.0	15.6	10.114346246792225
data protection	3	69.0	67.0	53.028294334251406
data recovery	1	20.0	20.0	
data research	939	12.0	17.02768903088392	12.251594913152665
data science	2	41.5	41.5	16.263455967290593
data scraping	340	10.0	14.191176470588236	11.127919858704304
data scraping development	18	19.5	21.833333333333332	13.844727176374237
data visualization	14	28.0	33.857142857142854	19.95709684011465
data warehousing	11	21.0	32.18181818181818	30.889539270821707
database administration	108	20.0	21.89814814814815	13.296714382170679
database design	8	37.5	38.375	18.392059622099346
database development	154	20.0	25.441558441558442	20.721302547251515
database management	155	20.0	24.580645161290324	25.132601833191472
database management system (dbms)	6	11.0	16.666666666666668	9.912954487269003
database modeling	2	66.5	66.5	47.37615433949868
database programming	22	26.0	33.27272727272727	22.20506552714797
database testing	7	11.0	19.714285714285715	14.314494818356735
decorator	2	34.0	34.0	1.4142135623730951
derivatives	2	46.5	46.5	9.192388155425117
desktop application engineering	2	17.5	17.5	10.606601717798213
desktop development	2	10.0	10.0	0.0
desktop support	1	11.0	11.0	
developer operations (devops)	1	15.0	15.0	
development	10	26.0	32.5	21.3814561399982
development specification	4	62.5	73.75	55.584020485507644
developmental editing	2	27.5	27.5	10.606601717798213
dialux	1	28.0	28.0	
diary management	27	23.0	28.703703703703702	34.490594944145855
dietologist	2	11.5	11.5	2.1213203435596424
digital mapping	4	16.5	30.5	32.60368077380221
digital marketing	713	20.0	29.349228611500703	46.681866804023784
digital marketing consultant	81	26.0	33.08641975308642	25.526063900876004
digital photography	11	15.0	22.636363636363637	17.454356059578522
digital publishing	3	20.0	230.66666666666666	373.5790857814893
digital scrapbooking	1	10.0	10.0	
digital sculpting	1	26.0	26.0	
digital strategy	35	40.0	49.51428571428571	39.28730630846037
digital strategy management	9	20.0	28.11111111111111	17.602872240379156
digital typography	4	34.0	33.25	6.238322424070967
direct mail	27	35.0	38.074074074074076	23.443755812789185
direct marketing	31	46.0	47.354838709677416	21.838114062492934
director of public relations	3	55.0	61.0	12.165525060596439
director of special events	2	39.5	39.5	9.192388155425117
directory submission	18	10.5	13.277777777777779	5.199610342363964
disaster recovery	1	66.0	66.0	
disc jockey (dj)	1	10.0	10.0	
dissertation writing	16	19.0	25.5	18.532853710820323
distance education	1	26.0	26.0	
distributed computing	1	66.0	66.0	
document control	2	19.5	19.5	9.192388155425117
document conversion	8	15.5	18.75	9.808888097755306
document review	1	25.0	25.0	
documentary	2	29.5	29.5	4.949747468305833
documentation	7	19.0	21.285714285714285	13.561148989107151
domain migration	15	20.0	29.266666666666666	20.2923865619831
domain name system (dns)	9	10.0	20.77777777777778	22.681367781605335
domain registration	3	26.0	78.66666666666667	105.38184536879838
doodle	3	20.0	20.333333333333332	5.507570547286101
dress design	1	40.0	40.0	
drop shipping	4	10.0	10.0	0.0
dropbox	4	17.5	17.75	4.272001872658765
dropbox application programming interface (dropbox api)	1	13.0	13.0	
drupal (cms)	74	20.0	26.08108108108108	16.598198249105938
drupal design	11	17.0	28.09090909090909	23.067095809635617
drupal migration	1	20.0	20.0	
dwellings roads and drainage design	1	40.0	40.0	
e-commerce design	115	26.0	33.89565217391304	23.858270813152934
e-commerce development	534	23.0	29.574906367041198	22.899015756121408
e-commerce management	28	26.0	31.571428571428573	21.121217296969892
e-commerce platform	5	23.0	44.2	41.05727706509529
e-commerce platform development	6	17.5	31.666666666666668	39.70222495864264
e-commerce website	188	15.0	24.601063829787233	25.999288327079658
e-health	2	48.0	48.0	25.45584412271571
e-learning	18	20.5	33.166666666666664	24.900389791421055
earned value management	1	46.0	46.0	
ebay application programming interface (ebay api)	7	20.0	22.571428571428573	14.022091413874309
ebay consultant	10	12.0	19.0	12.39175353029407
ebay development	23	20.0	35.34782608695652	40.04271434770645
ebay listing	44	10.0	18.59090909090909	18.40414283722387
ebay marketing	10	10.5	15.0	6.9602043392737
ebay store management	45	14.0	21.155555555555555	21.04967669321524
ebay web services	3	10.0	11.0	1.7320508075688772
ebay writing	4	10.0	10.25	0.5
ebook design	19	22.0	31.105263157894736	23.230475043791806
ebook formatting	5	33.0	30.4	19.449935732541636
ebook writing	77	20.0	26.98701298701299	19.630463373953884
econometrics	4	18.5	20.0	9.966610925150702
economic/financial analysis	110	25.0	36.472727272727276	33.734448429496645
editing	807	26.0	29.387856257744733	20.99159707196949
editorial	124	31.5	34.096774193548384	19.742825950239304
editorial writing	7	25.0	27.285714285714285	6.8729975438737965
education writing	61	26.0	32.40983606557377	20.70698517343067
electrical engineering	9	15.0	18.333333333333332	7.88986691902975
electronic engineering	2	35.0	35.0	35.35533905932738
electronic funds transfer	1	234.0	234.0	
electronics design	2	37.5	37.5	31.81980515339464
electronics hardware engineering	1	13.0	13.0	
eloqua	2	62.0	62.0	52.32590180780452
email database	460	11.0	17.469565217391306	19.523550044664006
email deliverability	8	18.0	18.25	8.013381665332416
email design	181	26.0	29.65745856353591	19.744304724673732
email development	111	25.0	30.81981981981982	20.644699164763907
email etiquette	6	11.5	13.5	4.370354676682432
email handling	45	10.0	12.866666666666667	4.61519230368573
email management	249	20.0	23.104417670682732	15.174693112239673
email marketing	1385	20.0	29.62599277978339	46.77816502099202
email support	35	12.0	14.085714285714285	5.601320372552027
email technical support	2	20.0	20.0	0.0
email writing	25	20.0	32.28	30.212469831732285
embedded system	2	35.5	35.5	33.23401871576773
ember js	1	16.0	16.0	
embroidery	2	32.0	32.0	11.313708498984761
employee engagement	3	26.0	37.0	25.357444666211933
employee relations	1	15.0	15.0	
employment contracts	2	40.0	40.0	33.94112549695428
employment law	2	55.0	55.0	12.727922061357855
energy engineering	4	13.0	16.0	8.906926143924924
engineering	3	40.0	33.333333333333336	17.009801096230767
engineering design	11	26.0	28.90909090909091	12.700035790930238
engineering drawing	15	33.0	31.466666666666665	9.395034149308168
enterprise resource planning (erp)	5	15.0	17.0	4.69041575982343
entertainment	3	26.0	28.666666666666668	10.263202878893768
entertainment writing	27	25.0	24.185185185185187	11.609137770397929
entrepreneurship	11	40.0	35.09090909090909	15.443150879626511
environment writing	3	26.0	36.333333333333336	32.74650108535771
environmental consultant	2	36.0	36.0	14.142135623730951
environmental science	3	26.0	22.333333333333332	9.073771725877467
epub design	2	46.0	46.0	28.284271247461902
equestrian	1	42.0	42.0	
erotica writing	1	12.0	12.0	
essay writing	27	15.0	23.48148148148148	28.35403969369386
etabs	3	28.0	26.0	15.0996688705415
etsy administration	11	12.0	13.636363636363637	4.884111531747146
event host	1	30.0	30.0	
event management	242	26.0	32.099173553719005	18.856481306992496
event photography	2	29.5	29.5	23.33452377915607
event planning	23	24.0	31.82608695652174	21.49133477371127
events coordinator	16	26.0	29.4375	12.371843031658623
events organiser	23	33.0	31.565217391304348	15.03579392031659
eviews	1	22.0	22.0	
exacttarget	1	33.0	33.0	
exam preparation	1	13.0	13.0	
exchange trading	1	66.0	66.0	
executive coaching	5	66.0	57.8	31.035463586033316
exhibition design	7	33.0	39.285714285714285	26.58768064169498
exhibition marketing	10	36.5	40.4	26.596574549700527
experience design	1	40.0	40.0	
express js	1	13.0	13.0	
express scribe	1	16.0	16.0	
exterior architecture	4	46.5	44.75	21.86892772862904
exterior design	3	20.0	21.0	11.532562594670797
ez publish	1	40.0	40.0	
facebook ads management	22	20.5	28.09090909090909	18.089484161507677
facebook advertisement (facebook ads)	218	20.0	28.30275229357798	25.19070291054418
facebook app design	2	40.0	40.0	35.35533905932738
facebook application programming interface (facebook api)	3	25.0	22.666666666666668	4.932882862316247
facebook banner	4	35.5	38.0	19.026297590440446
facebook cover	1	61.0	61.0	
facebook cover design	36	20.0	31.0	29.22230068189117
facebook design	38	20.0	28.07894736842105	27.776503368900855
facebook development	40	22.0	40.575	41.84702758797472
facebook game	2	19.0	19.0	14.142135623730951
facebook marketing	721	20.0	29.027739251040224	24.877517885269732
facebook messenger	4	38.0	40.25	20.982135258357285
facebook page	37	13.0	16.0	9.689627902499089
facebook page design	31	20.0	24.516129032258064	27.813511066556533
facebook post marketing	52	20.0	27.75	21.881028581049517
facebook posting	8	10.0	13.25	5.365231988061121
facebook timeline design	1	30.0	30.0	
facebook writing	40	28.0	31.45	16.422233209577303
facilities management	1	33.0	33.0	
fact checking	3	16.0	16.666666666666668	7.023769168568492
fashion blogger	31	33.0	34.61290322580645	23.924433005270068
fashion design	15	53.0	45.06666666666667	28.6791777792746
fashion illustration	2	13.5	13.5	2.1213203435596424
fashion photography	7	20.0	27.428571428571427	23.41550158091247
fashion styling	7	26.0	33.714285714285715	23.991069767132696
fashion technical design	1	79.0	79.0	
fashion writing	89	33.0	41.40449438202247	41.483216513407726
feasibility study	1	44.0	44.0	
feature writing	16	33.0	40.4375	29.995485771473458
fiction editing	1	20.0	20.0	
fiction writing	35	26.0	30.142857142857142	13.491049008929755
filemaker	4	56.5	58.0	43.94693770142959
film editing	2	36.5	36.5	4.949747468305833
film making	9	33.0	32.55555555555556	17.299646752976713
film production	1	33.0	33.0	
film reviews	15	20.0	24.733333333333334	14.2551577967248
final cut	7	33.0	36.42857142857143	24.737671292027084
finance consulting	33	25.0	36.78787878787879	30.648977935403465
finance writing	63	30.0	35.44444444444444	26.251745120349604
financial accounting	106	20.0	23.858490566037737	17.69069633303136
financial forecasting	10	25.0	53.6	76.35181726717445
financial management	5	18.0	28.8	26.432934002868468
financial modeling	39	30.0	51.15384615384615	46.98910201846832
financial planning	66	26.0	35.39393939393939	30.33245471203755
financial prospectus writing	1	10.0	10.0	
financial reporting	7	25.0	21.428571428571427	8.67673407946298
financial services	50	26.0	48.54	101.50826044601253
fireworks	3	20.0	18.666666666666668	2.3094010767585034
first aid training	4	43.0	42.75	16.45954636879968
fitness writing	42	22.5	38.23809523809524	52.32954187054337
flask web framework	2	27.5	27.5	17.67766952966369
floor planning	47	33.0	31.76595744680851	15.918560080661448
flowcharts	5	20.0	47.8	50.37558932657761
flyer	55	20.0	22.636363636363637	11.826466922344977
flyer design	18	18.0	21.88888888888889	11.861400020972074
flyer leaflet brochure	14	19.5	25.142857142857142	13.415588767475768
flyer writing	8	38.5	40.25	22.75176602250597
font design	2	15.0	15.0	7.0710678118654755
fonts typography	3	20.0	35.0	35.0
food photography	1	20.0	20.0	
food safety	1	13.0	13.0	
food stylist	1	20.0	20.0	
food writing	52	24.0	27.26923076923077	14.431875647011356
football writing	2	19.5	19.5	9.192388155425117
footwear designer	1	53.0	53.0	
forecasting	4	22.5	43.0	49.72591544322403
forex trading	8	29.0	42.0	38.84033249820898
format & layout	7	25.0	23.142857142857142	8.706866474772873
formstack	2	10.0	10.0	0.0
forum marketing	7	11.0	15.0	7.2571803523590805
forum moderation	1	40.0	40.0	
forum post writing	11	10.0	14.727272727272727	6.388910847568764
forum posting	18	12.5	13.722222222222221	4.19811660230346
franchise consulting	1	62.0	62.0	
fraud analysis	1	75.0	75.0	
freehand drawing	2	19.5	19.5	0.7071067811865476
freepbx	1	40.0	40.0	
freight forwarder	1	11.0	11.0	
frequently asked questions (faqs)	1	26.0	26.0	
front end developer	24	15.0	20.625	12.562236369719193
full stack developer	7	26.0	25.285714285714285	16.479424400488888
functional testing	3	20.0	18.0	7.211102550927978
fundraising	61	40.0	60.22950819672131	61.30399482432417
furniture design	5	33.0	38.8	32.42221460665511
furniture virtualisation	2	23.0	23.0	14.142135623730951
gambling	10	22.5	23.7	12.979042936809924
gambling development	3	10.0	14.0	6.928203230275509
gamification	1	60.0	60.0	
garden design	2	26.0	26.0	11.313708498984761
genealogy	1	13.0	13.0	
geographic information system (gis)	7	24.0	28.285714285714285	19.137348176748397
geography	9	10.0	18.88888888888889	14.24293197031816
geology	1	66.0	66.0	
geoprofessions	1	14.0	14.0	
getresponse	12	15.0	18.416666666666668	9.967751030501343
ghost writing	111	21.0	27.10810810810811	17.82253494435491
gimp	3	26.0	26.333333333333332	6.506407098647712
git	10	28.0	27.9	12.133058604948346
golang	1	15.0	15.0	
goldmine	4	16.5	16.25	6.3966136874651625
google adsense	47	20.0	22.893617021276597	19.382010981222397
google advertisement (google ads)	56	20.0	30.392857142857142	27.718506172151205
google adwords	420	15.0	27.007142857142856	41.57320881410601
google adwords development	10	16.0	23.5	15.29160989998546
google analytics	819	20.0	30.426129426129425	34.25708715835185
google analytics application programming interface (google analytics api)	16	42.0	42.875	21.316269217040148
google application programming interface (google api)	9	40.0	37.333333333333336	20.463381929681123
google applications (google apps)	20	24.5	29.85	21.431101354413823
google apps application programming interface (google apps API)	3	33.0	34.666666666666664	10.598742063723098
google cloud	1	80.0	80.0	
google docs application programming interface (google docs api)	2	29.0	29.0	5.656854249492381
google documents (google docs)	57	14.0	16.087719298245613	8.675253602209946
google drive	2	18.0	18.0	11.313708498984761
google forms	1	10.0	10.0	
google gmail	4	12.5	23.75	24.281337140555777
google listing	4	10.0	11.25	2.5
google maps	58	15.0	20.655172413793103	12.871226885914929
google places	2	15.0	15.0	7.0710678118654755
google play/ google play store	2	15.0	15.0	0.0
google plus (google +)	18	10.0	15.61111111111111	12.598500792642838
google ranking	406	15.0	22.573891625615765	18.456975880273998
google search	59	16.0	27.508474576271187	24.383695005386734
google search application programming interface (google search api)	1	53.0	53.0	
google search development	107	26.0	35.78504672897196	29.42339847916677
google shopping	20	29.5	36.85	25.232132813454147
google sites administration	1	36.0	36.0	
google spreadsheets	85	12.0	18.341176470588234	16.647288454434676
google spreadsheets application programming interface (google spreadsheets api)	1	10.0	10.0	
google tag management	16	42.5	40.0	23.25224003546038
google webmaster	13	11.0	21.846153846153847	25.294420181290825
google webmaster central	1	10.0	10.0	
google website optimizer	1	20.0	20.0	
google+ design	2	16.0	16.0	5.656854249492381
google+ development	5	26.0	25.4	6.148170459575759
google+ marketing	75	18.0	24.493333333333332	21.377794322382513
grant writing	6	25.0	21.666666666666668	9.83192080250175
graphic art	4	25.5	24.75	14.453949863849212
graphical user interface design (GUI design)	4	53.0	44.25	22.41093483101497
graphics design	767	20.0	25.8748370273794	18.075558861047742
gravity forms	1	33.0	33.0	
greeting card	2	46.5	46.5	9.192388155425117
growth hacker	16	44.0	93.1875	175.32834672883524
guest blogging	225	20.0	23.88888888888889	19.07927800537403
guest posting	191	15.0	20.24607329842932	14.991126244509102
guitar composition	1	53.0	53.0	
guitar performance	1	10.0	10.0	
hadoop	3	18.0	22.0	9.643650760992955
hand drawing	7	20.0	23.285714285714285	14.103359950903965
hand lettering	2	24.5	24.5	12.020815280171307
hand sketching	2	19.5	19.5	0.7071067811865476
handwritting	1	15.0	15.0	
header design	2	28.5	28.5	16.263455967290593
headshot photography	1	46.0	46.0	
health & safety management	2	36.0	36.0	14.142135623730951
health and safety consultant	4	33.0	34.5	8.34665601703261
health and safety training	2	36.0	36.0	14.142135623730951
health writing	95	26.0	33.126315789473686	38.18884824001919
healthcare	38	18.0	27.973684210526315	36.42132345585427
healthcare science	2	21.5	21.5	16.263455967290593
heating ventilating air conditioning system (hvac)	2	32.0	32.0	8.48528137423857
helpdesk	2	12.5	12.5	3.5355339059327378
heroku	2	15.5	15.5	7.7781745930520225
hibernate framework	1	15.0	15.0	
highcharts	1	15.0	15.0	
history writing	17	15.0	18.764705882352942	7.545937746270388
home automation	1	15.0	15.0	
hootsuite	23	22.0	30.17391304347826	17.40859812097314
hosting development	36	33.0	38.55555555555556	30.87527392076935
house drawing	40	33.0	34.325	17.147007662996824
hp quality center	1	15.0	15.0	
hp-ux	1	79.0	79.0	
html to wordpress	72	15.0	19.5	15.365041719509048
html/html5	939	20.0	26.212992545260917	18.623626049147745
human computer interaction (hci)	1	45.0	45.0	
human resource management	4	11.0	11.25	1.5
human resources (hr)	47	20.0	28.170212765957448	22.46090240640986
human resources consulting (HR Consulting)	26	33.0	37.92307692307692	27.105605437876612
human sciences	1	33.0	33.0	
humor writing	16	25.5	27.3125	13.295205902880932
hypnosis	2	18.0	18.0	11.313708498984761
ibeacon	1	10.0	10.0	
ibm spss	32	20.0	32.90625	28.161240092517005
icon design	5	11.0	22.2	21.545301111843386
icontact	4	13.0	14.0	4.546060565661952
identity design	2	20.5	20.5	7.7781745930520225
illustration	130	26.0	30.06923076923077	18.217969007343665
imacros scripting	3	10.0	16.666666666666668	11.547005383792515
image color correction	6	20.0	19.833333333333332	8.183316361150084
image conversion	10	10.5	16.6	10.024414640710393
image editing	117	15.0	18.666666666666668	11.19806017684036
image effects	2	12.5	12.5	3.5355339059327378
image manipulation	19	20.0	29.789473684210527	29.0374833378599
image resizing	18	10.5	22.833333333333332	29.20163170299987
image retouching	36	15.0	22.5	21.575780071976208
image/picture/photo research	2	9.5	9.5	0.7071067811865476
inbound marketing	24	25.0	31.625	21.077109982570935
inbound sales	38	19.0	32.0	33.05687155126384
indonesian <=> English translation	1	20.0	20.0	
indonesian translation	1	20.0	20.0	
industrial agriculture	1	46.0	46.0	
industrial and organizational psychology	2	48.5	48.5	4.949747468305833
industrial design	3	15.0	21.0	10.392304845413264
industrial engineering	3	14.0	19.0	12.288205727444508
industry analysis	1	15.0	15.0	
industry research	12	19.0	22.416666666666668	13.290176367482408
infographic	57	25.0	30.56140350877193	20.061528164142974
infographic designer	5	13.0	35.6	50.14279609275893
information security	4	64.5	64.5	46.04707735929973
information technology (IT)	7	15.0	18.571428571428573	9.96422170998389
information technology consulting (IT consulting)	45	30.0	37.644444444444446	23.29568391116451
infromation finding	4	10.0	10.0	0.0
infusionsoft	20	34.0	38.1	21.8629703765113
infusionsoft administration	1	10.0	10.0	
instagram marketing	231	20.0	24.1991341991342	19.135993836660138
installer development	1	15.0	15.0	
insurance consulting	3	24.0	68.33333333333333	83.8112959769346
intellectual property	7	112.0	101.85714285714286	60.34188310902186
intellectual property law	2	97.5	97.5	95.45941546018392
interactive design	6	45.0	45.333333333333336	13.589211407093007
interior architecture	9	33.0	34.111111111111114	18.475960356937094
interior design	58	28.5	29.586206896551722	15.70342959832104
interior styling	1	33.0	33.0	
internal auditing	2	39.5	39.5	9.192388155425117
internal communication	3	16.0	17.666666666666668	5.686240703077327
international law	1	165.0	165.0	
internet marketing	33	10.0	19.87878787878788	22.339367683192123
internet of things (IOT)	5	25.0	60.4	79.24518912842595
internet research	905	12.0	17.70718232044199	34.87248267495062
internet security	2	30.0	30.0	14.142135623730951
internet surveying	3	12.0	12.0	2.0
interview coaching	5	33.0	39.6	15.565988564816564
intranet implementation	1	16.0	16.0	
intuit quickbooks	23	13.0	18.130434782608695	10.450334260970216
intuit quicken	1	10.0	10.0	
inventory management	4	17.5	25.0	18.95608961081724
investigative reporting	3	53.0	38.666666666666664	24.826061575153908
investment research	9	33.0	66.0	70.40774105167698
invitation card	2	15.0	15.0	7.0710678118654755
invitation design	1	10.0	10.0	
invoice processing	2	21.0	21.0	7.0710678118654755
ionic framework	7	12.0	18.285714285714285	14.395766573478996
ios design	17	15.0	19.529411764705884	13.652461531985834
ios development	177	15.0	19.01129943502825	14.29955049379532
iphone applications development	10	13.5	16.9	9.46866176159839
iphone user interface design	1	10.0	10.0	
islamic theology	1	12.0	12.0	
itsm	2	25.0	25.0	14.142135623730951
jasperreports	1	10.0	10.0	
java server page (jsp)	2	12.5	12.5	3.5355339059327378
java servlets	2	10.5	10.5	0.7071067811865476
java swing	2	31.5	31.5	30.405591591021544
javafx	1	53.0	53.0	
jenkins	2	15.0	15.0	0.0
jewellery design	2	20.5	20.5	7.7781745930520225
job description writing	4	23.0	30.5	25.77466456296441
jomsocial development	1	10.0	10.0	
joomla (cms)	178	15.0	22.202247191011235	17.41625954723107
joomla design	29	15.0	21.413793103448278	13.689196056377847
joomla migration	2	14.0	14.0	8.48528137423857
journalism	393	30.0	33.98727735368957	24.041255802858778
journalism writing	11	33.0	42.81818181818182	24.045033507226318
jquery	253	22.0	27.513833992094863	17.780986989968003
jquery mobile	1	19.0	19.0	
json	3	20.0	18.666666666666668	8.082903768654761
key account management	1	30.0	30.0	
keyword planning	27	15.0	18.77777777777778	11.702509045017566
keyword research	581	15.0	21.280550774526677	17.918939615320536
kickstarter marketing	1	59.0	59.0	
kissmetrics	1	18.0	18.0	
kitchen design	7	33.0	33.42857142857143	6.133436852128472
knockout js	2	37.0	37.0	31.11269837220809
knowledge management	1	30.0	30.0	
kohana	3	33.0	31.666666666666668	22.03028218914441
label/ package design	15	29.0	28.8	14.041774409647399
lamp administration	8	36.5	36.0	19.198214202665532
landing page design	110	21.5	29.227272727272727	22.50653690603952
landing page writing	43	26.0	32.72093023255814	18.35798202079872
landscape architect	1	38.0	38.0	
landscape photography	1	46.0	46.0	
language teacher	3	18.0	19.333333333333332	10.066445913694333
lanuage tutorial	1	13.0	13.0	
laravel framework	105	15.0	21.466666666666665	16.84491858250677
layout design	5	20.0	20.4	7.127411872482185
lead accelerator	10	10.0	26.3	34.169674664337485
lead generation	985	13.0	20.65989847715736	18.684616786576797
leadership coaching	9	50.0	61.44444444444444	61.45956213460829
leadership development	5	40.0	53.2	36.07214992206591
leadership training	8	33.0	29.5	15.184578643196806
leadman	1	10.0	10.0	
leaflet	19	29.0	30.842105263157894	12.816062655445474
lean consulting	1	93.0	93.0	
lean management	2	82.5	82.5	70.0035713374682
learning and development	2	33.0	33.0	9.899494936611665
leatherworker	1	53.0	53.0	
lectora online	1	10.0	10.0	
legal consulting	44	28.0	55.5	63.77230571920845
legal contracts	21	64.0	79.0	51.47523676487559
legal research	3	33.0	29.333333333333332	18.77054430040145
legal transcription	1	13.0	13.0	
legal translation	1	70.0	70.0	
legal writing	55	33.0	45.527272727272724	40.417201391859976
lesson writing	2	22.5	22.5	17.67766952966369
letter head design	3	10.0	14.666666666666666	8.082903768654761
letter writing	171	26.0	32.02923976608187	22.29492870338977
life coaching	10	33.0	39.5	21.583172457572896
lifestyle management	1	24.0	24.0	
lifestyle photography	1	20.0	20.0	
lifestyle writing	65	26.0	36.6	40.71156162566108
lighting design	1	28.0	28.0	
link building	777	15.0	22.418275418275417	21.61856126923996
linkedin development	26	26.0	27.076923076923077	14.271434621433338
linkedin marketing	186	15.0	22.951612903225808	19.676651620794196
linkedin page design	14	18.0	23.285714285714285	17.946195531809355
linkedin recruiting	28	11.5	17.214285714285715	13.42567232017366
linkexchange	4	10.5	14.0	7.3484692283495345
linq	1	15.0	15.0	
linux	40	33.0	35.3	18.23240282630111
linux system	1	20.0	20.0	
linux system administration	5	16.0	26.2	19.357169214531343
literary editor	1	66.0	66.0	
literature	50	20.0	24.7	13.158763666260208
literature review	3	80.0	61.0	44.64302857109943
live chat operator	3	15.0	16.0	6.557438524302
live chat support	14	10.0	13.214285714285714	5.27954793269522
localization	11	18.0	28.0	23.71497417245062
logistics & shipping	4	16.5	16.25	3.5
logo	236	20.0	25.305084745762713	14.640955947499377
logo animation	13	10.0	18.923076923076923	12.141262554209773
logo conversion	2	23.5	23.5	19.091883092036785
logo design	197	15.0	20.593908629441625	14.166558907417254
logotype	2	26.0	26.0	19.79898987322333
lookbook	2	15.0	15.0	7.0710678118654755
love writing	4	22.5	27.25	18.117670931993437
loyalty marketing	1	9.0	9.0	
lyrics writing	2	15.0	15.0	7.0710678118654755
machine learning	13	26.0	38.23076923076923	33.36203892188907
madcap flare	1	46.0	46.0	
madcap software	1	46.0	46.0	
magazine design	13	26.0	31.23076923076923	17.701948320989256
magazine layout	2	13.0	13.0	0.0
magento (cms)	394	15.0	21.736040609137056	15.499039469815422
magento design	72	20.0	27.73611111111111	20.14873781078512
mail merge	3	24.0	24.666666666666668	15.01110699893027
mail server implementation	1	20.0	20.0	
mailchimp	202	20.0	26.846534653465348	17.40935909077441
management accounting	1	20.0	20.0	
management consulting	4	50.0	55.0	24.20743687382041
managing director (general manager)	2	15.0	15.0	7.0710678118654755
manual writing	23	33.0	34.52173913043478	21.2000633901655
manufacturing and construction	1	66.0	66.0	
manufacturing design	1	38.0	38.0	
manuscript format	2	49.0	49.0	22.627416997969522
mariadb	1	25.0	25.0	
marine design	1	20.0	20.0	
market research	513	16.0	27.237816764132553	52.229043837927684
marketing	284	26.0	32.651408450704224	23.72639160906357
marketing analysis	3	35.0	46.333333333333336	28.728615235220325
marketing automation	20	27.5	79.9	216.87952027747914
marketing communications	23	26.0	30.08695652173913	17.88324010574823
marketing database	171	16.0	21.953216374269005	18.04824021582716
marketing management	3	47.0	39.0	25.942243542145693
marketing planning	319	35.0	45.043887147335425	41.32686798617785
marketing strategy	945	33.0	45.182010582010584	56.944262577056904
marketing video	76	26.0	32.85526315789474	24.568111552643966
marketing writing	792	30.0	34.609848484848484	23.272595647981777
marketo	1	99.0	99.0	
material design	1	10.0	10.0	
mathematics	8	20.5	25.75	17.37609194924369
mechanical design	1	20.0	20.0	
mechanical engineering	9	26.0	24.333333333333332	9.069178573608527
media buying	6	44.0	39.5	18.641351882307248
media database	18	26.0	30.77777777777778	21.59127153587643
media planning	2	19.5	19.5	6.363961030678928
media relations	98	40.0	44.58163265306123	28.358501505126153
mediation	1	10.0	10.0	
medical billing and coding	1	12.0	12.0	
medical illustration	2	25.0	25.0	21.213203435596427
medical imaging	1	10.0	10.0	
medical informatics	4	28.0	86.0	119.36777901371319
medical records research	1	10.0	10.0	
medical secretary	2	19.0	19.0	1.4142135623730951
medical transcription	4	13.0	14.5	3.696845502136472
medical translation	1	10.0	10.0	
medical writing	46	24.5	30.108695652173914	18.598958466501486
mental health professional	3	26.0	32.0	25.534290669607408
mentor	8	40.0	53.875	31.86326814912207
menu design	3	25.0	31.333333333333332	19.295940851208407
merchandise planning	1	28.0	28.0	
meteor js	3	40.0	33.666666666666664	16.441816606851365
microbiologist	2	15.5	15.5	7.7781745930520225
microsoft access	74	21.5	26.37837837837838	17.50201765488353
microsoft active directory	3	46.0	37.0	21.93171219946131
microsoft dynamics crm	4	22.5	31.25	19.311050377094112
microsoft excel	893	16.0	21.592385218365063	16.28741392192132
microsoft excel administrator	9	10.0	11.444444444444445	1.8782379449307742
microsoft excel powerpivot	8	10.0	16.5	10.337172865786025
microsoft exchange server	2	49.5	49.5	4.949747468305833
microsoft frontpage	2	31.5	31.5	12.020815280171307
microsoft infopath	1	60.0	60.0	
microsoft office (ms office)	251	13.0	18.820717131474105	13.41714310438945
microsoft office 365 (ms office 365)	22	21.5	32.68181818181818	28.889586793656722
microsoft outlook	36	20.0	21.63888888888889	11.608255135961963
microsoft powerpoint	260	20.0	25.888461538461538	19.894098520042466
microsoft powerpoint administrator	1	13.0	13.0	
microsoft project	12	31.5	32.416666666666664	18.03258834511126
microsoft publisher	1	30.0	30.0	
microsoft sharepoint	15	35.0	46.8	35.44653922256929
microsoft sharepoint administration	1	10.0	10.0	
microsoft sharepoint development	1	16.0	16.0	
microsoft silverlight	3	20.0	31.666666666666668	30.237945256470937
microsoft sql server programming	2	16.0	16.0	8.48528137423857
microsoft sql ssas	1	26.0	26.0	
