"85",0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
"86",1,1,2,0,2,0,0,2,9,4,0,1,4,0,1,0,0,0
"87",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"93",0,0,0,0,1,0,1,0,2,5,1,1,0,1,6,0,0,0
"94",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"99",1,1,0,4,4,2,2,2,4,14,4,1,4,2,4,0,0,0
"100",0,0,2,1,0,1,3,3,0,6,1,0,1,0,0,0,0,0
"105",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,0,1,1,1,1,0,1,1,5,1,0,1,1,1,0,0,0
"110",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0
"117",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"119",0,1,0,1,0,0,1,0,2,2,0,0,0,0,1,0,0,0
"120",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"125",0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0
"126",0,1,0,0,0,1,0,1,0,2,0,0,0,1,3,0,0,0
"127",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"131",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"132",2,4,1,2,4,2,2,1,5,6,1,0,1,2,8,0,0,0
"133",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"147",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"159",0,0,0,0,0,0,1,0,1,2,0,0,0,1,2,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"172",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0
