,price,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,price_group
0,8,3,0,0,0,1,1,3,3,3,5,1,0,3,0,5,0,0,0,$0-9
1,9,14,6,8,10,15,14,16,18,20,42,9,6,7,8,15,0,0,0,$0-9
2,10,9,30,37,78,106,136,144,208,216,599,71,67,59,95,204,0,0,0,$10-19
3,11,0,4,2,7,20,25,14,23,31,68,11,18,16,16,41,0,0,0,$10-19
4,12,2,5,13,17,25,20,25,37,48,92,18,11,17,19,53,0,0,0,$10-19
5,13,8,5,1,19,18,23,29,20,40,89,17,17,13,21,64,0,0,0,$10-19
6,14,0,0,1,3,2,2,4,5,7,12,4,3,4,4,12,0,0,0,$10-19
7,15,1,7,8,19,29,27,47,36,55,153,34,15,31,50,91,0,0,0,$10-19
8,16,3,2,1,6,10,5,11,13,21,44,13,5,13,18,25,0,0,0,$10-19
9,17,1,2,1,2,3,5,3,2,7,17,3,2,4,4,9,0,0,0,$10-19
10,18,1,0,1,3,7,2,7,13,17,13,8,8,5,8,24,0,0,0,$10-19
11,19,0,0,0,3,1,3,8,4,6,7,3,2,3,3,8,0,0,0,$10-19
12,20,7,13,14,27,33,61,60,76,104,229,47,49,50,72,166,0,0,0,$20-29
13,21,1,1,1,1,3,3,3,2,6,10,4,2,1,3,16,0,0,0,$20-29
14,22,1,1,1,0,5,0,2,3,3,14,3,2,4,4,11,0,0,0,$20-29
15,23,1,0,1,3,3,6,3,7,6,14,3,3,3,9,17,0,0,1,$20-29
16,24,0,1,1,4,3,5,8,7,14,17,7,2,6,7,27,0,1,0,$20-29
17,25,0,1,6,7,12,10,15,22,20,54,10,14,17,18,45,0,0,0,$20-29
18,26,6,8,11,23,12,22,46,43,77,123,32,30,35,48,125,0,0,0,$20-29
19,27,0,0,0,0,0,1,0,1,1,3,1,0,0,1,3,0,0,0,$20-29
20,28,0,0,2,2,0,1,1,4,3,4,0,1,1,2,7,0,0,0,$20-29
21,29,1,1,1,3,4,4,5,6,10,11,4,7,3,2,11,0,0,0,$20-29
22,30,1,2,1,1,11,15,10,10,18,51,7,10,8,7,39,0,0,0,$30-39
23,31,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,$30-39
24,32,0,1,0,1,1,3,1,2,2,4,2,2,1,0,3,0,0,0,$30-39
25,33,3,6,11,29,22,35,39,56,66,125,32,31,40,40,105,0,0,0,$30-39
26,34,0,0,0,1,0,0,0,1,0,1,0,0,4,1,6,0,0,0,$30-39
27,35,0,2,1,0,7,7,5,5,4,16,5,7,4,7,16,0,0,0,$30-39
28,36,0,1,1,1,0,1,0,1,1,3,2,0,0,2,4,0,0,0,$30-39
29,37,0,0,0,0,0,0,2,2,1,2,1,4,3,2,5,0,0,0,$30-39
30,38,0,0,0,1,0,0,1,0,2,4,0,0,2,1,3,0,0,0,$30-39
31,39,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,$30-39
32,40,1,5,8,22,23,23,29,40,49,109,26,22,27,45,117,0,1,0,$40-49
33,41,0,1,0,0,1,0,1,1,3,3,0,0,3,1,5,0,0,0,$40-49
34,42,0,0,0,0,0,1,1,0,0,4,1,0,2,0,3,0,0,0,$40-49
35,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$40-49
36,44,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,$40-49
37,45,0,2,1,1,1,0,3,5,3,15,1,4,3,4,3,0,0,0,$40-49
38,46,4,2,4,5,5,11,16,28,13,56,11,18,12,11,41,0,0,0,$40-49
39,47,0,1,1,0,0,2,0,1,4,5,1,0,1,2,7,0,0,0,$40-49
40,48,0,0,0,0,1,1,1,2,0,1,0,1,1,1,1,0,0,0,$40-49
41,49,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,$40-49
42,50,0,3,3,10,3,9,9,7,10,32,3,4,3,3,15,0,0,0,$50-59
43,52,0,0,0,2,0,0,1,0,1,2,0,2,2,0,1,0,0,0,$50-59
44,53,2,2,1,8,10,14,19,15,28,58,14,16,9,15,62,0,0,0,$50-59
45,55,0,0,1,1,0,0,1,3,0,2,0,0,1,0,0,0,0,0,$50-59
46,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,$50-59
47,57,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,$50-59
48,58,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,$50-59
49,59,2,0,0,0,1,1,1,3,2,4,3,1,2,1,2,0,0,0,$50-59
50,60,1,5,5,5,6,6,11,11,11,32,5,8,9,12,18,0,0,0,$60-69
51,61,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,$60-69
52,62,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,$60-69
53,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,$60-69
54,64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,$60-69
55,65,0,0,0,0,1,1,0,2,2,3,1,1,2,2,8,0,0,0,$60-69
56,66,8,2,5,10,9,15,17,20,19,51,12,7,17,15,41,1,0,0,$60-69
